Job Title,Job Description,Apply Link
Mühasib vəzifəsinə vakansiya elan edilir,Ərizələr aprel ayının 26-dan qəbul edilir,https://metro.gov.azhttps://metro.gov.az/az/vacancy/39
SƏTƏMM mühəndislərinin işə qəbulu elan edilir,Elektron ərizələr aprel ayının  25-dən qəbul edilir,https://metro.gov.azhttps://metro.gov.az/az/vacancy/38
Bakı metropoliteni qatar maşinisti peşəsinə seçim elan edir,Ərizələr aprel ayının 22-dək qəbul edilir,https://metro.gov.azhttps://metro.gov.az/az/vacancy/37
Bakı metropoliteni qatar maşinisti peşəsinə seçim elan edir,Ərizələr yanvar ayının 22-dək qəbul edilir,https://metro.gov.azhttps://metro.gov.az/az/vacancy/36
Xanımlar üçün açıq qapı günü keçiriləcək: Metro qatarının sükanı sizi gözləyir,,https://metro.gov.azhttps://metro.gov.az/az/vacancy/35
“Bakı Metropoliteni” QSC layihəçi mühəndislərin seçimini elan edir,,https://metro.gov.azhttps://metro.gov.az/az/vacancy/34
SƏTƏMM mühəndislərinin işə qəbulu elan edilir,,https://metro.gov.azhttps://metro.gov.az/az/vacancy/33
Elektrik dispetçeri vəzifəsi üzrə kursa qəbul elan edilir,Aprel ayının 25-dən may ayının 8-nə qədər,https://metro.gov.azhttps://metro.gov.az/az/vacancy/32
Qatar maşinisti peşəsinə seçim elan edilir,Elektron ərizələr 2023-cü il mart ayının 1-dən 19-na qədər qədər qəbul edilir,https://metro.gov.azhttps://metro.gov.az/az/vacancy/31
Elektrik dispetçeri kurslarına qəbul elan edilir,2023-cü il fevralın 15-dən 28-nə qədər ərizələr qəbul olunur,https://metro.gov.azhttps://metro.gov.az/az/vacancy/30
Elektrik dispetçeri vəzifəsi üzrə kursa qəbul elan edilir,Ərizələr dekabrın 2-nə qədər göndərilə bilər,https://metro.gov.azhttps://metro.gov.az/az/vacancy/29
Qatar maşinisti peşəsi üzrə seçim elanı,Ərizələr dekabrın 10-dan 25-dək qəbul edilir,https://metro.gov.azhttps://metro.gov.az/az/vacancy/24
Qatar maşinisti peşəsinə seçim elan edilir,Karyeranızı bizimlə qurun,https://metro.gov.azhttps://metro.gov.az/az/vacancy/23
Qatar maşinisti peşəsinə seçim elan edilir,Tələblərə uyğun gələn gəncləri fəal olmağa dəvət edirik,https://metro.gov.azhttps://metro.gov.az/az/vacancy/22
Baki Metropoliteni tibb işçiləri axtarir,Aprelin 5-nə qədər elektron ərizə doldura bilərsiniz,https://metro.gov.azhttps://metro.gov.az/az/vacancy/20
